home_team,away_team,probability
Lakers,Suns,0.4748818
Lakers,Clippers,0.4869537
Lakers,Warriors,0.4869537
Lakers,Timberwolves,0.5120138
Timberwolves,Bucks,0.303043
Timberwolves,Celtics,0.3152709
Timberwolves,76ers,0.3518695
Timberwolves,Cavaliers,0.389352
Timberwolves,Knicks,0.4387855
Timberwolves,Nets,0.4629128
Timberwolves,Heat,0.4989994
Timberwolves,Hawks,0.4749555
Timberwolves,Nuggets,0.3650543
Timberwolves,Grizzlies,0.389352
Timberwolves,Kings,0.4267009
Timberwolves,Suns,0.4629128
Timberwolves,Clippers,0.4749555
Timberwolves,Warriors,0.4749555
Timberwolves,Lakers,0.4879862
